config,memory,test,parallel,run,ops_per_sec
LLFree+CR,DRAM,get_pages(2MB)-free,8,2,75061
LLFree+CR,CXL,get_pages(4KB)-alloc,8,2,1108800
LLFree+CR,CXL,get_pages(4KB)-free,8,2,1037498
LLFree+CR,CXL,get_pages(2MB)-alloc,8,2,42087
LLFree+CR,CXL,get_pages(2MB)-free,8,2,41160
LLFree+CR,DRAM,random_get_free_4K2M,8,2,752292
LLFree+CR,CXL,random_get_free_4K2M,8,2,282447
LLFree+CR,DRAM,kmalloc,16,2,895968
LLFree+CR,CXL,kmalloc,16,2,66010
LLFree+CR,DRAM,get_pages(4KB)-alloc,16,2,1921336
LLFree+CR,DRAM,get_pages(4KB)-free,16,2,4436902
LLFree+CR,DRAM,get_pages(2MB)-alloc,16,2,65643
LLFree+CR,DRAM,get_pages(2MB)-free,16,2,75325
LLFree+CR,CXL,get_pages(4KB)-alloc,16,2,1141188
LLFree+CR,CXL,get_pages(4KB)-free,16,2,1040795
LLFree+CR,user,user_malloc(even[16-256]),1,2,21270285
LLFree+CR,user,user_malloc(even[16-256]),2,2,45164774
LLFree+CR,user,user_malloc(even[16-256]),4,2,85256456
LLFree+CR,user,user_malloc(even[16-256]),8,2,169118200
LLFree+CR,user,user_malloc(even[16-256]),16,2,253241104
LLFree+CR,user,user_malloc(even[16-256]),32,2,197369312
LLFree+CR,user,user_malloc(even[16-256]),64,2,128983424
LLFree+CR,user,user_malloc(even[16-256]),96,2,101827104
LLFree+CR,DRAM,kmalloc,1,3,781179
LLFree+CR,CXL,kmalloc,1,3,243745
LLFree+CR,DRAM,get_pages(4KB)-alloc,1,3,153443
LLFree+CR,DRAM,get_pages(4KB)-free,1,3,6373050
LLFree+CR,DRAM,get_pages(2MB)-alloc,1,3,16253
LLFree+CR,DRAM,get_pages(2MB)-free,1,3,112064
LLFree+CR,CXL,get_pages(4KB)-alloc,1,3,130740
LLFree+CR,CXL,get_pages(4KB)-free,1,3,1368552
LLFree+CR,CXL,get_pages(2MB)-alloc,1,3,11826
LLFree+CR,CXL,get_pages(2MB)-free,1,3,75495
LLFree+CR,DRAM,random_get_free_4K2M,1,3,738758
LLFree+CR,CXL,random_get_free_4K2M,1,3,412583
LLFree+CR,DRAM,kmalloc,4,3,1283030
LLFree+CR,CXL,kmalloc,4,3,111196
LLFree+CR,DRAM,get_pages(4KB)-alloc,4,3,3788708
LLFree+CR,DRAM,get_pages(4KB)-free,4,3,6370512
LLFree+CR,DRAM,get_pages(2MB)-alloc,4,3,107121
LLFree+CR,DRAM,get_pages(2MB)-free,4,3,112561
LLFree+CR,CXL,get_pages(4KB)-alloc,4,3,758568
LLFree+CR,CXL,get_pages(4KB)-free,4,3,1362927
LLFree+CR,CXL,get_pages(2MB)-alloc,4,3,72004
LLFree+CR,CXL,get_pages(2MB)-free,4,3,75405
LLFree+CR,DRAM,random_get_free_4K2M,4,3,788925
LLFree+CR,CXL,random_get_free_4K2M,4,3,411938
LLFree+CR,DRAM,kmalloc,8,3,796656
LLFree+CR,CXL,kmalloc,8,3,79818
LLFree+CR,DRAM,get_pages(4KB)-alloc,8,3,3600933
LLFree+CR,DRAM,get_pages(4KB)-free,8,3,6391789
LLFree+CR,DRAM,get_pages(2MB)-alloc,8,3,107084
LLFree+CR,DRAM,get_pages(2MB)-free,8,3,112597
LLFree+CR,CXL,get_pages(4KB)-alloc,8,3,1394099
LLFree+CR,CXL,get_pages(4KB)-free,8,3,1361805
LLFree+CR,user,user_malloc(even[16-256]),1,3,22102882
LLFree+CR,user,user_malloc(even[16-256]),2,3,43688150
LLFree+CR,user,user_malloc(even[16-256]),4,3,81099020
LLFree+CR,user,user_malloc(even[16-256]),8,3,166127392
LLFree+CR,user,user_malloc(even[16-256]),16,3,281694160
LLFree+CR,user,user_malloc(even[16-256]),32,3,188570688
LLFree+CR,user,user_malloc(even[16-256]),64,3,174665792
LLFree+CR,user,user_malloc(even[16-256]),96,3,56698656
LLFree,DRAM,kmalloc,1,1,678842
LLFree,CXL,kmalloc,1,1,67795
LLFree,DRAM,get_pages(4KB)-alloc,1,1,72294
LLFree,DRAM,get_pages(4KB)-free,1,1,813845
LLFree,DRAM,get_pages(2MB)-alloc,1,1,7118
LLFree,DRAM,get_pages(2MB)-free,1,1,76679
LLFree,CXL,get_pages(4KB)-alloc,1,1,119091
LLFree,CXL,get_pages(4KB)-free,1,1,620160
LLFree,CXL,get_pages(2MB)-alloc,1,1,9086
LLFree,CXL,get_pages(2MB)-free,1,1,36442
LLFree,DRAM,random_get_free_4K2M,1,1,699554
LLFree,CXL,random_get_free_4K2M,1,1,295047
LLFree,DRAM,kmalloc,4,1,1016720
LLFree,CXL,kmalloc,4,1,65228
LLFree,DRAM,get_pages(4KB)-alloc,4,1,1887252
LLFree,DRAM,get_pages(4KB)-free,4,1,1921164
LLFree,DRAM,get_pages(2MB)-alloc,4,1,62720
LLFree,DRAM,get_pages(2MB)-free,4,1,76438
LLFree,CXL,get_pages(4KB)-alloc,4,1,687897
LLFree,CXL,get_pages(4KB)-free,4,1,619091
LLFree,CXL,get_pages(2MB)-alloc,4,1,44986
LLFree,CXL,get_pages(2MB)-free,4,1,40660
LLFree,DRAM,random_get_free_4K2M,4,1,754020
LLFree,CXL,random_get_free_4K2M,4,1,298354
LLFree,DRAM,kmalloc,8,1,909418
LLFree,CXL,kmalloc,8,1,68759
LLFree,DRAM,get_pages(4KB)-alloc,8,1,1946927
LLFree,DRAM,get_pages(4KB)-free,8,1,1972318
LLFree,DRAM,get_pages(2MB)-alloc,8,1,67020
LLFree,DRAM,get_pages(2MB)-free,8,1,76895
LLFree,CXL,get_pages(4KB)-alloc,8,1,1177255
LLFree,CXL,get_pages(4KB)-free,8,1,615255
LLFree,CXL,get_pages(2MB)-alloc,8,1,43176
LLFree,CXL,get_pages(2MB)-free,8,1,41711
LLFree,DRAM,random_get_free_4K2M,8,1,744017
LLFree,CXL,random_get_free_4K2M,8,1,295808
LLFree,DRAM,kmalloc,16,1,774928
LLFree,CXL,kmalloc,16,1,51710
LLFree,user,user_malloc(even[16-256]),1,1,22726243
LLFree,user,user_malloc(even[16-256]),2,1,43233762
LLFree,user,user_malloc(even[16-256]),4,1,84574408
LLFree,user,user_malloc(even[16-256]),8,1,159244704
LLFree,user,user_malloc(even[16-256]),16,1,287215840
LLFree,user,user_malloc(even[16-256]),32,1,312608768
LLFree,user,user_malloc(even[16-256]),64,1,120525440
LLFree,user,user_malloc(even[16-256]),96,1,130005888
LLFree,DRAM,kmalloc,1,2,316716
LLFree,CXL,kmalloc,1,2,56935
LLFree,DRAM,get_pages(4KB)-alloc,1,2,140251
LLFree,DRAM,get_pages(4KB)-free,1,2,1814055
LLFree,DRAM,get_pages(2MB)-alloc,1,2,12714
LLFree,DRAM,get_pages(2MB)-free,1,2,73654
LLFree,CXL,get_pages(4KB)-alloc,1,2,118349
LLFree,CXL,get_pages(4KB)-free,1,2,608532
LLFree,CXL,get_pages(2MB)-alloc,1,2,8444
LLFree,CXL,get_pages(2MB)-free,1,2,40927
LLFree,DRAM,random_get_free_4K2M,1,2,691984
LLFree,CXL,random_get_free_4K2M,1,2,300292
LLFree,DRAM,kmalloc,4,2,1349485
LLFree,CXL,kmalloc,4,2,79970
LLFree,DRAM,get_pages(4KB)-alloc,4,2,1856347
LLFree,DRAM,get_pages(4KB)-free,4,2,1875130
LLFree,DRAM,get_pages(2MB)-alloc,4,2,61866
LLFree,DRAM,get_pages(2MB)-free,4,2,76200
LLFree,CXL,get_pages(4KB)-alloc,4,2,688560
LLFree,CXL,get_pages(4KB)-free,4,2,617278
