percentile,empty_t1,empty_t4,empty_t8,read_t1,read_t4,read_t8
1.8,4130,8997,17422,7135,23510,52283
1.8,4130,9009,17448,7139,23512,52300
1.8,4131,9034,17471,7139,23515,52300
1.8,4131,9035,17475,7139,23518,52304
1.8,4131,9037,17486,7141,23524,52325
1.9,4132,9042,17550,7141,23527,52335
1.9,4132,9045,17569,7142,23529,52343
1.9,4133,9063,17614,7142,23534,52343
1.9,4135,9068,17630,7142,23537,52346
1.9,4135,9076,17670,7147,23538,52354
1.9,4136,9144,17690,7148,23541,52363
1.9,4138,9148,17703,7148,23543,52371
1.9,4139,9169,17744,7148,23546,52372
1.9,4139,9176,17772,7148,23547,52378
2.0,4141,9193,17834,7148,23550,52380
2.0,4141,9198,17948,7148,23555,52389
2.0,4141,9202,17982,7149,23557,52390
2.0,4142,9210,17998,7149,23558,52392
2.0,4143,9239,18032,7149,23569,52393
2.0,4143,9241,18039,7153,23577,52393
2.0,4143,9270,18060,7156,23579,52396
2.0,4146,9278,18106,7156,23584,52404
2.1,4147,9279,18127,7158,23585,52411
2.1,4147,9288,18147,7160,23588,52432
2.1,4148,9294,18200,7161,23590,52434
2.1,4149,9300,18221,7163,23590,52435
2.1,4150,9302,18280,7164,23591,52447
2.1,4151,9312,18386,7165,23593,52454
2.1,4152,9316,18397,7165,23593,52455
2.1,4152,9317,18405,7167,23601,52456
2.2,4152,9326,18406,7167,23602,52464
2.2,4153,9350,18462,7168,23602,52465
2.2,4154,9355,18518,7168,23603,52469
2.2,4155,9355,18563,7169,23603,52475
2.2,4158,9361,18588,7169,23606,52501
2.2,4159,9369,18604,7175,23607,52502
2.2,4161,9373,18610,7176,23610,52505
2.2,4167,9381,18649,7180,23610,52507
2.3,4167,9411,18657,7184,23611,52507
2.3,4175,9414,18658,7185,23616,52512
2.3,4177,9419,18690,7185,23618,52516
2.3,4180,9427,18708,7186,23619,52527
2.3,4183,9431,18764,7186,23619,52527
2.3,4184,9449,18770,7188,23620,52528
2.3,4187,9475,18834,7189,23621,52532
2.4,4187,9494,18887,7190,23624,52555
2.4,4192,9499,18890,7194,23625,52560
2.4,4198,9504,18905,7196,23627,52560
2.4,4199,9510,18913,7198,23627,52563
2.4,4200,9514,18925,7203,23630,52563
2.4,4202,9529,18951,7205,23636,52563
2.4,4203,9541,18951,7205,23637,52572
2.4,4206,9543,18971,7206,23638,52573
2.5,4207,9544,19007,7208,23638,52575
2.5,4210,9548,19069,7208,23639,52575
2.5,4213,9575,19102,7211,23642,52580
2.5,4228,9578,19115,7213,23643,52586
2.5,4231,9585,19126,7213,23644,52590
2.5,4235,9589,19127,7213,23645,52591
2.5,4239,9603,19143,7214,23646,52594
2.5,4240,9603,19155,7217,23647,52604
2.5,4241,9611,19166,7221,23649,52613
2.6,4242,9612,19233,7221,23649,52613
2.6,4244,9613,19236,7222,23651,52618
2.6,4244,9628,19246,7223,23653,52620
2.6,4248,9642,19255,7223,23659,52620
2.6,4249,9678,19257,7224,23659,52628
2.6,4249,9679,19261,7224,23660,52638
2.6,4250,9685,19285,7228,23662,52646
2.6,4250,9701,19314,7228,23663,52650
2.7,4250,9701,19330,7228,23666,52668
2.7,4250,9722,19354,7229,23667,52669
2.7,4251,9723,19360,7231,23669,52675
2.7,4252,9729,19382,7231,23670,52676
2.7,4253,9731,19528,7232,23671,52679
2.7,4255,9736,19550,7232,23676,52694
2.7,4256,9740,19560,7232,23676,52695
2.8,4256,9748,19574,7232,23676,52708
2.8,4257,9752,19661,7233,23679,52713
2.8,4258,9758,19687,7233,23682,52715
2.8,4259,9758,19699,7234,23684,52718
2.8,4259,9770,19703,7235,23688,52723
2.8,4259,9780,19848,7236,23690,52731
2.8,4261,9783,19899,7239,23691,52732
2.8,4262,9797,19903,7240,23696,52733
2.9,4262,9797,19904,7240,23697,52739
2.9,4262,9809,19906,7240,23699,52746
2.9,4263,9809,19930,7240,23704,52746
2.9,4264,9810,19934,7241,23706,52751
2.9,4265,9820,19955,7241,23709,52755
2.9,4266,9820,19968,7241,23709,52758
2.9,4266,9828,20027,7242,23711,52779
2.9,4266,9833,20037,7243,23712,52779
3.0,4266,9835,20053,7246,23712,52782
3.0,4267,9850,20081,7247,23715,52790
3.0,4267,9856,20097,7247,23719,52800
3.0,4267,9858,20126,7249,23721,52801
3.0,4267,9862,20128,7250,23722,52803
3.0,4267,9862,20141,7250,23722,52821
3.0,4268,9878,20142,7250,23723,52821
3.0,4268,9878,20144,7250,23724,52821
3.0,4268,9884,20151,7252,23727,52827
3.1,4269,9887,20156,7252,23729,52840
3.1,4269,9897,20178,7252,23729,52840
3.1,4269,9899,20180,7256,23734,52847
3.1,4269,9899,20181,7257,23736,52850
3.1,4270,9905,20205,7258,23738,52854
3.1,4270,9923,20211,7258,23747,52854
3.1,4271,9927,20242,7259,23747,52855
3.1,4271,9932,20286,7259,23749,52859
3.2,4271,9936,20323,7260,23753,52866
3.2,4271,9944,20349,7262,23757,52866
3.2,4271,9950,20410,7263,23760,52873
3.2,4272,9956,20428,7263,23765,52880
3.2,4272,9958,20471,7263,23766,52880
3.2,4272,9958,20472,7264,23767,52881
3.2,4273,9970,20475,7265,23767,52885
3.2,4273,9971,20480,7265,23773,52890
3.3,4273,9978,20534,7266,23773,52891
3.3,4273,9982,20585,7266,23774,52900
3.3,4274,9991,20586,7266,23775,52903
3.3,4274,10017,20587,7266,23777,52903
3.3,4274,10019,20618,7266,23778,52906
3.3,4274,10028,20626,7267,23780,52912
3.3,4274,10037,20669,7267,23783,52913
3.4,4274,10039,20680,7270,23785,52920
3.4,4275,10040,20686,7270,23785,52921
3.4,4275,10042,20691,7273,23786,52926
3.4,4275,10043,20692,7274,23786,52927
3.4,4276,10044,20694,7274,23788,52930
3.4,4276,10045,20705,7275,23789,52934
3.4,4276,10049,20737,7276,23790,52935
3.4,4277,10055,20738,7278,23791,52935
